"DATE","ADJCLOSE","FEDFUNDS","GDP","UNRATE","CPIAUCSL","USSTHPI","WTISPLC"
1985-01-01,179.63,8.35,4230.168,7.3,105.7,124.89,25.641
1985-02-01,181.18,8.5,4230.168,7.2,106.3,124.89,27.271
1985-03-01,180.66,8.58,4230.168,7.2,106.8,124.89,28.238
1985-04-01,179.83,8.27,4294.887,7.3,107,126.78,28.805
1985-05-01,189.55,7.97,4294.887,7.2,107.2,126.78,27.623
1985-06-01,191.85,7.53,4294.887,7.4,107.5,126.78,27.143
1985-07-01,190.92,7.88,4386.773,7.4,107.7,128.75,27.329
1985-08-01,188.63,7.9,4386.773,7.1,107.9,128.75,27.755
1985-09-01,182.08,7.92,4386.773,7.1,108.1,128.75,28.289
1985-10-01,189.82,7.99,4444.094,7.1,108.5,130.18,29.538
1985-11-01,202.17,8.05,4444.094,7,109,130.18,30.813
1985-12-01,211.28,8.27,4444.094,7,109.5,130.18,27.228
1986-01-01,211.78,8.14,4507.894,6.7,109.9,132.71,22.945
1986-02-01,226.92,7.86,4507.894,7.2,109.7,132.71,15.442
1986-03-01,238.9,7.48,4507.894,7.2,109.1,132.71,12.618
1986-04-01,235.52,6.99,4545.34,7.1,108.7,135.5,12.847
1986-05-01,247.35,6.85,4545.34,7.2,109,135.5,15.444
1986-06-01,250.84,6.92,4545.34,7.2,109.4,135.5,13.469
1986-07-01,236.12,6.56,4607.669,7,109.5,137.56,11.575
1986-08-01,252.93,6.17,4607.669,6.9,109.6,137.56,15.092
1986-09-01,231.32,5.89,4607.669,7,110,137.56,14.913
1986-10-01,243.98,5.85,4657.627,7,110.2,139.68,14.852
1986-11-01,249.22,6.04,4657.627,6.9,110.4,139.68,15.207
1986-12-01,242.17,6.91,4657.627,6.6,110.8,139.68,16.076
1987-01-01,274.08,6.43,4722.156,6.6,111.4,142.46,18.656
1987-02-01,284.2,6.1,4722.156,6.6,111.8,142.46,17.726
1987-03-01,291.7,6.13,4722.156,6.6,112.2,142.46,18.305
1987-04-01,288.36,6.37,4806.16,6.3,112.7,144.67,18.643
1987-05-01,290.1,6.85,4806.16,6.3,113,144.67,19.415
1987-06-01,304,6.73,4806.16,6.2,113.5,144.67,20.034
1987-07-01,318.66,6.58,4884.555,6.1,113.8,146.34,21.355
1987-08-01,329.8,6.73,4884.555,6,114.3,146.34,20.274
1987-09-01,321.83,7.22,4884.555,5.9,114.7,146.34,19.526
1987-10-01,251.79,7.29,5007.994,6,115,147.29,19.848
1987-11-01,230.3,6.69,5007.994,5.8,115.4,147.29,18.92
1987-12-01,247.08,6.77,5007.994,5.7,115.6,147.29,17.241
1988-01-01,257.07,6.83,5073.372,5.7,116,149.59,17.16
1988-02-01,267.82,6.58,5073.372,5.7,116.2,149.59,16.765
1988-03-01,258.89,6.58,5073.372,5.7,116.5,149.59,16.217
1988-04-01,261.33,6.87,5190.036,5.4,117.2,152.58,17.875
1988-05-01,262.16,7.09,5190.036,5.6,117.5,152.58,17.438
1988-06-01,273.5,7.51,5190.036,5.4,118,152.58,16.53
1988-07-01,272.02,7.75,5282.835,5.4,118.5,154.16,15.498
1988-08-01,261.52,8.01,5282.835,5.6,119,154.16,15.524
1988-09-01,271.91,8.19,5282.835,5.4,119.5,154.16,14.467
1988-10-01,278.97,8.3,5399.509,5.4,119.9,155.58,13.798
1988-11-01,273.7,8.35,5399.509,5.3,120.3,155.58,13.977
